#变量导出文件（汇川）
#2025-10-24 12:52:17
#AutoShop:EasyMonitor{9C0001D5-7318-4ba2-A115-BB39F85EBE64}
#列A:名称
#列B:连接（如果为空，则是内部连接）
#列C:数据类型（取决于连接，有以下几种类型：Int16 、UInt16、Int32、UInt32、Float、Double、Bool、String、WString、DateTime，类型区分大小写。）
#列D:长度
#列E:数组计数
#列F:地址（取决于连接，寄存器名和数字之间的空格不能缺少。）
#列G:采集周期
#列H:采集模式（=根据命令1=循环使用（默认值）2=循环连续）
#列I:上限
#列J:下限
#列K:初始值（初始值类型取决于变量数据类型）
#列L:注释
#列M:变量组Id

名称,连接,数据类型,长度,数组计数,地址,采集周期,采集模式,上限,下限,初始值,注释,变量组Id
"轴[0].I_原点偏移",,"Float","4","1","UW 0407D00","100ms","1",,,,"原点到达时的位置",1
"轴[0].I_点动速度",,"Float","4","1","UW 0407D20","100ms","1",,,,"点动运行速度",1
"轴[0].I_定位位置",,"Float","4","1","UW 0407D40","100ms","1",,,,"绝对定位和相对定位的距离",1
"轴[0].I_定位速度",,"Float","4","1","UW 0407D60","100ms","1",,,,"绝对定位或相对定位的速度",1
"轴[0].I_加速度",,"Float","4","1","UW 0407D80","100ms","1",,,,"定位加速度",1
"轴[0].I_减速度",,"Float","4","1","UW 0407DA0","100ms","1",,,,"定位减速度",1
"轴[0].I_设定位置",,"Float","4","1","UW 0407DC0","100ms","1",,,,"设定当前位置为输入的位置",1
"轴[0].I_设定转矩百分比",,"Float","4","1","UW 0407DE0","100ms","1",,,,"转矩模式的目标转矩",1
"轴[0].I_转矩增量百分比",,"Float","4","1","UW 0407E00","100ms","1",,,,"力矩斜坡(单位是%/s)设置力矩模式下的力矩指令加速度，即每秒力矩指令的增量",1
"轴[0].I_设定转矩速度",,"Float","4","1","UW 0407E20","100ms","1",,,,"限制速度",1
"轴[0].I_速度模式速度",,"Float","4","1","UW 0407E40","100ms","1",,,,"设定速度模式时的速度，正数正转负数反转",1
"轴[0].O_当前位置",,"Float","4","1","UW 0407E60","100ms","1",,,,"读出的实时轴位置",1
"轴[0].O_当前速度",,"Float","4","1","UW 0407E80","100ms","1",,,,"读出的实时轴速度",1
"轴[0].O_当前力矩",,"Float","4","1","UW 0407EA0","100ms","1",,,,"读出的实时轴力矩",1
"轴[0].O_轴控故障码",,"Int16","2","1","UW 0407EC0","100ms","1",,,,"轴控故障时的错误码",1
"轴[0].O_PD0中0x603F的值",,"Int16","2","1","UW 0407ED0","100ms","1",,,,"总线轴的寄存器里的故障码",1
"轴[0].O_读轴故障码",,"Int16","2","1","UW 0407EE0","100ms","1",,,,"轴控故障码",1
"轴[0].I_参数配置",,"Int16","2","1","UW 0407EF0","100ms","1",,,,"配置参数的数值，具体需查看手册",1
"轴[0].I_使能",,"Bool","1","1","UB 0407F00","100ms","1",,,,"轴使能",1
